"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg900","European Union (28 member countries)","Final Energy|Residential and Commercial|Electricity","EJ/yr",5.5667,6.1826,5.832999999999999,6.5185,6.7741,7.6128,9.0304,10.4623,11.3327,11.8431,11.8103,11.6734,"",12.0828,"",12.3297,"",12.2945,"",12.9346
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Emissions|CO2|Energy|Demand|Residential and Commercial","Mt CO2/yr","",628.11707569,509.35584613,497.65482584,496.23948659,502.29424495,470.83911129,466.57154448,458.87853678,445.17918662,431.93394162,420.36842231,406.20691394000016,393.76392276,381.39708693,367.72865443,352.83197929000005,340.20674416,331.4854433299999,349.7939063099999
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Heat","EJ/yr","",0.5106125,0.4035238,0.4338262,0.4685264,0.48687840000000004,0.4809307,0.4797897,0.4744898,0.47077340000000006,0.4661964,0.45173149999999995,0.43133530000000003,0.41112029999999994,0.3867696,0.3661353,0.3499771,0.3281018,0.308757,0.2873033
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",19.2647712,17.0633911,17.58538082,18.269147399999998,18.89013037,19.34553457,19.80707694,20.17666944,20.428378180000006,20.6949664,21.00016603,21.211839029,21.355703179000002,21.380634518,21.269269413000004,21.049096882,20.803186241,20.501130632,20.24189252
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Gases","EJ/yr","",7.371968000000002,6.2433950000000005,6.3294760000000005,6.390283999999999,6.602627999999998,6.0658900000000004,5.960531,5.873757,5.67652,5.568786,5.584701,5.561405000000001,5.545483,5.487152,5.343912,5.123594000000001,4.952249,4.823517,5.075383
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Electricity","EJ/yr","",6.0884754999999995,5.8324031000000005,6.3206874000000015,7.0483839999999995,7.697734,8.893775,9.56453,10.278784,10.878554,11.40217,11.903582,12.383574000000001,12.766939,13.063172999999999,13.266065,13.380417000000001,13.438393,13.40541,13.033674000000001
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Emissions|CO2|Energy|Demand|Residential and Commercial|Residential","Mt CO2/yr","",446.33945480000006,349.80588726,340.8356114799999,339.56138539,341.72573313,322.7270032200001,318.9163795,313.32733094,303.91072562,294.16074364,284.56949564,273.31363182,263.24302137,253.30859459,243.1467542,232.54158875,223.03265040000002,215.95695651,224.02666344
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial|Electricity","EJ/yr","",3.0602099,2.9800402000000004,3.2541092999999996,3.6502095000000003,4.0128517,4.635513400000001,5.0061615,5.399253,5.7338130000000005,6.040221,6.349835,6.651803999999999,6.911353,7.1243110000000005,7.281052000000001,7.384192999999999,7.461736,7.494662,7.3546010000000015
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial","Mt CO2/yr","",181.77762079,159.54995887,156.81921436,156.6781012,160.56851183,148.11210807,147.65516498,145.55120573,141.26846111,137.77319798,135.79892676999998,132.89328211999998,130.52090139,128.08849225,124.58190023,120.29039052,117.17409367,115.52848681,125.76724288
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential|Gases","EJ/yr","",5.183313,4.205693,4.2459989999999985,4.274952,4.391566,4.058222,3.971191,3.905677,3.767097,3.681545,3.6695629999999997,3.632575,3.600314,3.541261,3.433301,3.2781029999999998,3.151726,3.052447,3.165752
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial|Heat","EJ/yr","",0.12041410000000001,0.0894128,0.10132310000000001,0.1132319,0.1193809,0.1210325,0.12288160000000001,0.1226001,0.12324849999999998,0.1236215,0.1208661,0.1166103,0.1119013,0.10576760000000002,0.1005398,0.09695152,0.09163609,0.08658006,0.08003997
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial|Gases","EJ/yr","",1.0538991000000002,0.9786469999999999,1.0043029,1.0215397,1.0668556,1.0015125,0.9944184000000001,0.9874513,0.9589393,0.9443181999999999,0.9523792,0.9561761999999999,0.9575132,0.9517561,0.9286540999999999,0.8920351000000001,0.8654221,0.8436891,0.8832701
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential|Heat","EJ/yr","",0.39019840000000006,0.31411100000000003,0.3325031,0.3552945,0.3674975,0.3598982,0.35690809999999995,0.35188969999999997,0.3475249,0.3425749,0.33086540000000003,0.314725,0.299219,0.281002,0.2655955,0.25302559999999996,0.23646570000000003,0.22217689999999998,0.20726329999999998
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential|Electricity","EJ/yr","",3.0282656,2.8523629,3.0665781,3.3981739999999996,3.6848824999999996,4.258262,4.5583682,4.8795310999999995,5.1447413000000015,5.3619486,5.5537465,5.7317683,5.8555858,5.938857700000001,5.9850172,5.9962258,5.9766574000000015,5.9107512,5.6790699
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Cooling","EJ/yr","",0.6273460999999999,0.6010555999999999,0.5864085,0.5767797,0.5648786,0.5511304,0.5349948,0.5185953,0.4999614999999999,0.4797437,0.4588841999999999,0.4359983,0.41409579999999996,0.39089359999999995,0.3689991,0.3472833,0.3261786,0.3053643,0.28526809999999997
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial|Cooling","EJ/yr","",0.3151604,0.3070702,0.300190264,0.295508915,0.289576426,0.282668175,0.274680406,0.26658644600000003,0.257352392,0.247203048,0.2367094149999999,0.225319985,0.214304661,0.20268114,0.19157072100000003,0.18055530399999997,0.16981369,0.159187879,0.148957375
"GCAM 5.3","NGFS2_Current Policies","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential|Cooling","EJ/yr","",0.3121857,0.2939854,0.28621820000000003,0.2812708,0.2753022,0.26846220000000004,0.2603144,0.2520089,0.2426091,0.23254070000000002,0.2221748,0.21067829999999999,0.1997911,0.1882125,0.1774284,0.166728,0.1563648999999999,0.1461763999999999,0.1363107
"© AR6 Scenario Explorer and Database hosted by IIASA https://data.ece.iiasa.ac.at/ar6"
