"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.2","EN_NPi2020_1000f","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
"AIM/CGE 2.2","EN_NPi2020_1000f","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.7127,6.8081999999999985,7.2312,7.527,7.7408,7.858899999999998,7.8744,7.9319,8.0851,8.3536,8.6184,8.7635,8.8573,8.9684,9.1206,9.3353
"AIM/CGE 2.2","EN_NPi2020_1000f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.1647,10.9176,10.991,10.9599,10.8698,10.7071,10.4686,10.2583,10.1112,10.0579,9.9757,9.7909,9.5609,9.3545,9.2321,9.1831
"AIM/CGE 2.2","EN_NPi2020_1200","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,17.846,17.6631,18.1894,18.4538,18.586,18.5232,18.3119,18.1219,18.1938,18.4102,18.573,18.686,18.7052,18.6829,18.6214,18.6689
"AIM/CGE 2.2","EN_NPi2020_1200","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
"AIM/CGE 2.2","EN_NPi2020_1200","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.6962,6.7749,7.2135,7.5087,7.7271,7.8352,7.858,7.8964,8.0852,8.3554,8.5955,8.8027,8.9559,9.086,9.1943,9.3563
"AIM/CGE 2.2","EN_NPi2020_1200","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.1499,10.8881,10.9759,10.9451,10.8589,10.687999999999999,10.454,10.225499999999998,10.1085,10.0548,9.9775,9.8833,9.7494,9.596900000000002,9.4271,9.3125
"AIM/CGE 2.2","EN_NPi2020_1200f","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,18.0207,18.0235,18.4009,18.5989,18.697,18.7133,18.5354,18.4372,18.3101,18.4077,18.523,18.6541,18.6097,18.5723,18.5852,18.7154
"AIM/CGE 2.2","EN_NPi2020_1200f","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
"AIM/CGE 2.2","EN_NPi2020_1200f","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.7883,6.9666,7.327699999999999,7.5891,7.7893,7.9411,7.9815,8.0648,8.1404,8.3429,8.5605,8.7989,8.9368,9.0716,9.2156,9.4167
"AIM/CGE 2.2","EN_NPi2020_1200f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.2326,11.0569,11.0732,11.0097,10.9078,10.7722,10.5538,10.3724,10.1697,10.0649,9.9626,9.8552,9.6729,9.5007,9.3696,9.2987
"AIM/CGE 2.2","EN_NPi2020_1400","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,18.0286,18.0422,18.4152,18.6192,18.7255,18.7539,18.593,18.4693,18.4167,18.4138,18.5183,18.6288,18.6869,18.6618,18.590999999999998,18.6404
"AIM/CGE 2.2","EN_NPi2020_1400","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
"AIM/CGE 2.2","EN_NPi2020_1400","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.7924,6.9766,7.3356,7.6004,7.8051,7.9638,8.0137,8.0823,8.1969,8.3443,8.5539,8.7706,8.946,9.0743,9.1768,9.3391
"AIM/CGE 2.2","EN_NPi2020_1400","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.2363,11.0656,11.0796,11.0187,10.9204,10.7901,10.5793,10.387,10.2197,10.0695,9.9643,9.8582,9.7409,9.5876,9.4141,9.3011
"AIM/CGE 2.2","EN_NPi2020_1400f","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,18.0977,18.1378,18.4836,18.6442,18.7589,18.8048,18.6867,18.5407,18.5101,18.4346,18.5223,18.6072,18.697,18.6942,18.6816,18.782
"AIM/CGE 2.2","EN_NPi2020_1400f","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
"AIM/CGE 2.2","EN_NPi2020_1400f","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.8288,7.0275,7.373500000000001,7.6145,7.824,7.9924,8.0662,8.1216,8.2477,8.3536,8.5516,8.7568,8.9688,9.1169,9.2493,9.4384
"AIM/CGE 2.2","EN_NPi2020_1400f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.2688,11.1102,11.1102,11.0297,10.9349,10.8123,10.6204,10.419,10.2624,10.0811,9.9707,9.8504,9.7283,9.5773,9.4323,9.3435
"AIM/CGE 2.2","EN_NPi2020_1600","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,18.223000000000006,18.294,18.5139,18.6777,18.8142,18.8798,18.8494,18.7411,18.6107,18.5791,18.5365,18.5596,18.6222,18.6049,18.5415,18.595
"AIM/CGE 2.2","EN_NPi2020_1600","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
"AIM/CGE 2.2","EN_NPi2020_1600","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.8953,7.1115,7.3914,7.635,7.856999999999998,8.0371,8.1603,8.2369,8.304499999999999,8.4315,8.5555,8.7209,8.908999999999999,9.043,9.1492,9.3132
"AIM/CGE 2.2","EN_NPi2020_1600","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.3278,11.1826,11.1224,11.0427,10.9572,10.8427,10.6891,10.5042,10.3062,10.1475,9.9811,9.8387,9.7132,9.5619,9.3922,9.2817
"AIM/CGE 2.2","EN_NPi2020_1600f","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,18.223000000000006,18.294,18.5139,18.6777,18.8142,18.8798,18.8494,18.7411,18.6107,18.5791,18.5365,18.5596,18.6222,18.6209,18.5579,18.612000000000002
"AIM/CGE 2.2","EN_NPi2020_1600f","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
"AIM/CGE 2.2","EN_NPi2020_1600f","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.8953,7.1115,7.3914,7.635,7.856999999999998,8.0371,8.1603,8.2369,8.304499999999999,8.4315,8.5555,8.7209,8.908999999999999,9.0541,9.1606,9.3248
"AIM/CGE 2.2","EN_NPi2020_1600f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.3278,11.1826,11.1224,11.0427,10.9572,10.8427,10.6891,10.5042,10.3062,10.1475,9.9811,9.8387,9.7132,9.5668,9.3973,9.2872
"AIM/CGE 2.2","EN_NPi2020_1800","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,18.3261,18.4129,18.5549,18.7158,18.8569,18.9302,18.9351,18.8884,18.7387,18.6692,18.5693,18.5692,18.5727,18.5485,18.4836,18.5347
"AIM/CGE 2.2","EN_NPi2020_1800","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
"AIM/CGE 2.2","EN_NPi2020_1800","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.9503,7.1752,7.4140000000000015,7.6564,7.881299999999999,8.065999999999999,8.209299999999999,8.3208,8.3766,8.4811,8.5712,8.7202,8.8712,9.002699999999997,9.1088,9.2716
"AIM/CGE 2.2","EN_NPi2020_1800","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.3758,11.2377,11.140899999999998,11.0594,10.9756,10.8642,10.7259,10.5675,10.362,10.1881,9.9982,9.8489,9.7015,9.5459,9.3748,9.2629
"AIM/CGE 2.2","EN_NPi2020_1800f","European Union (28 member countries)","Final Energy|Residential and Commercial","EJ/yr","",20.636999999999997,18.5392,18.7773,18.3261,18.4129,18.5549,18.7158,18.8569,18.9302,18.9351,18.8884,18.7387,18.6692,18.5693,18.5692,18.5727,18.5485,18.4836,18.5347
"AIM/CGE 2.2","EN_NPi2020_1800f","European Union (28 member countries)","Population","million","",543.1753,555.2375,566.0332000000002,575.8299999999998,584.3076,591.5087,597.6834,602.7543,606.4699,608.6251,609.4235,608.5561,606.4975999999998,603.5309,599.7271,595.1283999999998,589.575,583.0518999999998,575.2474
"AIM/CGE 2.2","EN_NPi2020_1800f","European Union (28 member countries)","Final Energy|Residential and Commercial|Commercial","EJ/yr","",7.0107,6.6525,7.0070000000000014,6.9503,7.1752,7.4140000000000015,7.6564,7.881299999999999,8.065999999999999,8.209299999999999,8.3208,8.3766,8.4811,8.5712,8.7202,8.8712,9.002699999999997,9.1088,9.2716
"AIM/CGE 2.2","EN_NPi2020_1800f","European Union (28 member countries)","Final Energy|Residential and Commercial|Residential","EJ/yr","",13.6263,11.8869,11.7703,11.3758,11.2377,11.140899999999998,11.0594,10.9756,10.8642,10.7259,10.5675,10.362,10.1881,9.9982,9.8489,9.7015,9.5459,9.3748,9.2629
